iter	Passed	Remaining
596	15851	10700
597	15872	10670
598	15893	10639
599	15919	10612
600	15940	10583
601	15969	10557
602	15996	10531
603	16022	10504
604	16055	10482
605	16081	10455
606	16111	10431
607	16136	10404
608	16164	10378
609	16184	10347
610	16208	10319
611	16235	10293
612	16258	10264
613	16283	10236
614	16305	10207
615	16328	10178
616	16352	10150
617	16376	10122
618	16405	10097
619	16426	10068
620	16456	10043
621	16484	10017
622	16514	9993
623	16539	9966
624	16560	9936
625	16583	9907
626	16605	9878
627	16627	9849
628	16649	9820
629	16672	9791
630	16695	9763
631	16716	9733
632	16737	9704
633	16758	9674
634	16783	9646
635	16804	9617
636	16825	9588
637	16847	9559
638	16868	9529
639	16888	9499
640	16910	9470
641	16932	9441
642	16952	9412
643	16975	9384
644	16997	9355
645	17018	9325
646	17040	9296
647	17063	9269
648	17084	9239
649	17107	9211
650	17129	9183
651	17150	9154
652	17171	9124
653	17273	9138
654	17309	9117
655	17351	9098
656	17380	9073
657	17409	9048
658	17434	9021
659	17461	8995
660	17484	8967
661	17522	8946
662	17546	8918
663	17572	8892
664	17600	8866
665	17624	8838
666	17650	8812
667	17679	8786
668	17705	8760
669	17733	8734
670	17761	8708
671	17790	8683
672	17823	8660
673	17848	8632
674	17871	8604
675	17896	8577
676	17920	8549
677	17943	8521
678	17964	8492
679	17987	8464
680	18015	8438
681	18037	8410
682	18061	8382
683	18085	8355
684	18109	8327
685	18131	8299
686	18155	8271
687	18177	8243
688	18203	8216
689	18228	8189
690	18254	8163
691	18278	8135
692	18304	8108
693	18326	8080
694	18351	8053
695	18374	8025
696	18485	8036
697	18550	8026
698	18587	8004
699	18610	7975
700	18632	7947
701	18659	7920
702	18694	7898
703	18721	7871
704	18753	7847
705	18774	7818
706	18795	7789
707	18816	7760
708	18834	7730
709	18857	7702
710	18881	7674
711	18907	7647
712	18932	7620
713	18960	7594
714	18989	7569
715	19010	7540
716	19035	7513
717	19057	7485
718	19082	7457
719	19109	7431
720	19133	7403
721	19156	7376
722	19180	7348
723	19204	7320
724	19229	7293
725	19251	7265
726	19274	7237
727	19298	7210
728	19321	7182
729	19344	7154
730	19366	7126
731	19388	7098
732	19408	7069
733	19431	7041
734	19451	7012
735	19470	6983
736	19493	6956
737	19514	6927
738	19536	6900
739	19557	6871
740	19580	6844
741	19603	6816
742	19628	6789
743	19658	6764
744	19682	6737
745	19708	6710
746	19733	6683
747	19754	6655
748	19774	6626
749	19797	6599
750	19818	6570
751	19837	6542
752	19857	6513
753	19878	6485
754	19897	6456
755	19916	6428
756	19938	6400
757	19956	6371
758	19979	6343
759	20000	6316
760	20019	6287
761	20040	6259
762	20060	6231
763	20083	6203
764	20104	6175
765	20125	6148
766	20150	6121
767	20175	6094
768	20205	6069
769	20238	6045
770	20267	6019
771	20299	5995
772	20329	5970
773	20353	5943
774	20382	5917
775	20405	5890
776	20424	5861
777	20446	5834
778	20466	5806
779	20487	5778
780	20506	5750
781	20528	5722
782	20547	5694
783	20566	5666
784	20586	5638
785	20603	5609
786	20622	5581
787	20639	5552
788	20658	5524
789	20677	5496
790	20697	5468
791	20717	5441
792	20736	5412
793	20756	5385
794	20778	5357
795	20800	5330
796	20821	5303
797	20844	5276
798	20865	5249
799	20887	5221
800	20909	5194
801	20933	5168
802	20955	5140
803	20979	5114
804	21002	5087
805	21023	5060
806	21046	5033
807	21068	5006
808	21092	4979
809	21113	4952
810	21138	4926
811	21160	4899
812	21184	4872
813	21207	4846
814	21232	4819
815	21253	4792
816	21278	4766
817	21301	4739
818	21322	4712
819	21347	4685
820	21370	4659
821	21393	4632
822	21416	4605
823	21438	4579
824	21460	4552
825	21482	4525
826	21505	4498
827	21531	4472
828	21554	4446
829	21578	4419
830	21600	4392
831	21621	4365
832	21643	4339
833	21664	4312
834	21684	4285
835	21708	4258
836	21729	4231
837	21749	4204
838	21773	4178
839	21793	4151
840	21815	4124
841	21838	4098
842	21860	4071
843	21882	4044
844	21907	4018
845	21928	3991
846	21950	3965
847	21973	3938
848	21992	3911
849	22015	3885
850	22034	3857
851	22057	3831
852	22080	3805
853	22099	3778
854	22122	3751
855	22146	3725
856	22170	3699
857	22195	3673
858	22217	3646
859	22239	3620
860	22263	3594
861	22285	3567
862	22308	3541
863	22330	3514
864	22353	3488
865	22375	3462
866	22396	3435
867	22417	3409
868	22439	3382
869	22460	3356
870	22482	3329
871	22505	3303
872	22528	3277
873	22552	3251
874	22575	3225
875	22595	3198
876	22619	3172
877	22641	3146
878	22661	3119
879	22684	3093
880	22705	3066
881	22729	3040
882	22751	3014
883	22772	2988
884	22796	2962
885	22817	2935
886	22839	2909
